doc-number,Caption,Committees,Sponsors,links
HB 1085,"City of Chamblee Public Facilities Authority Act; enact
Status: 05/06/2024 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Lupton, Karen , 83rdTran, Long , 80thHolcomb, Scott , 81st",https://www.legis.ga.gov/legislation/66517
HB 1086,"Barrow County; ad valorem tax for educational purposes for certain senior citizens with certain maximum incomes; provide homestead exemption
Status: 05/01/2024 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Persinger, Holt , 119thEfstration, Chuck , 104thGaines, Houston , 120th",https://www.legis.ga.gov/legislation/66519
HB 1087,"Barrow County; ad valorem tax for educational purposes for certain senior citizens with certain maximum incomes; provide homestead exemption
Status: 05/01/2024 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Persinger, Holt , 119thEfstration, Chuck , 104thGaines, Houston , 120th",https://www.legis.ga.gov/legislation/66520
HB 1088,"Barrow County; ad valorem tax for educational purposes for certain senior citizens with certain maximum incomes; provide homestead exemption
Status: 05/01/2024 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Persinger, Holt , 119thEfstration, Chuck , 104thGaines, Houston , 120th",https://www.legis.ga.gov/legislation/66521
HB 1089,"Technical and adult education; expand jurisdiction of campus police officers and other security personnel
Status: 02/01/2024 - House Second Readers",House Committee:Public Safety and Homeland Security,"Hong, Soo , 103rdBallinger, Mandi , 23rdMartin, Chuck , 49thHitchens, Bill , 161stCrowe, Clint , 118th",https://www.legis.ga.gov/legislation/66522
HB 1090,"Income tax; contributions to foster child support organizations; expand tax credit 
Status: 03/28/2024 - Senate Disagreed House Amend or Sub",House Committee:Ways & MeansSenate Committee:Finance,"Newton, Mark , 127thWiedower, Marcus , 121stGullett, Joseph , 19thCrowe, Clint , 118thHutchinson, Shelly , 106th",https://www.legis.ga.gov/legislation/66523
HB 1091,"Clayton County; compensation of chief magistrate; revise provisions
Status: 05/06/2024 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Neal, Yasmin , 79thDouglas, Demetrius , 78thHolly, El-Mahdi , 116thScott, Sandra , 76thBell, Eric , 75th",https://www.legis.ga.gov/legislation/66524
HB 1092,"Alcoholic beverages; allow local authorization and regulation of the sale for consumption on the premises on a certain number of Sundays during the calendar year
Status: 02/01/2024 - House Second Readers",House Committee:Regulated Industries,"Frazier, Gloria , 126thPrince, Brian , 132ndGladney, Lynn , 130thHoward, Karlton , 129thNewton, Mark , 127th",https://www.legis.ga.gov/legislation/66525
HB 1093,"Agriculture; prohibit acquisition of possessory interest in certain land by certain foreign persons and entities
Status: 02/27/2024 - House Withdrawn, Recommitted",House Committee:Agriculture & Consumer Affairs,"Clark, David , 100thPirkle, Clay , 169thBlackmon, Shaw , 146thCorbett, John , 174thBonner, Josh , 73rdBallard, Bethany , 147th",https://www.legis.ga.gov/legislation/66530
HB 1094,"Baldwin County; board of commissioners; provide staggered terms
Status: 02/19/2024 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Vance, Ken , 133rdJackson, Mack , 128th",https://www.legis.ga.gov/legislation/66551
HB 1095,"Baldwin County; board of elections and registration; create
Status: 02/19/2024 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Vance, Ken , 133rdJackson, Mack , 128th",https://www.legis.ga.gov/legislation/66552
HB 1096,"Professional licensing boards; continuing education tracking solution to monitor compliance of licensees with applicable continuing education requirements; establish
Status: 03/26/2024 - Senate Tabled",House Committee:Regulated IndustriesSenate Committee:Regulated Industries and Utilities,"Washburn, Dale , 144thWerkheiser, Bill , 157thEvans, Becky , 89thPowell, Alan , 33rd",https://www.legis.ga.gov/legislation/66553
HB 1097,"Driver education training; remove availability of online courses without an instructor 
Status: 02/06/2024 - House Second Readers",House Committee:Motor Vehicles,"Vance, Ken , 133rdMathis, Danny , 149thCarpenter, Kasey , 4thHitchens, Bill , 161stLumsden, Eddie , 12th",https://www.legis.ga.gov/legislation/66554
HB 1098,"Bridging the Gap for ALS and Chronic Kidney Disease Act of 2024; enact
Status: 02/06/2024 - House Second Readers",House Committee:Insurance,"Hawkins, Lee , 27thStephens, Ron , 164thNewton, Mark , 127thJackson, Mack , 128thTownsend, Rick , 179th",https://www.legis.ga.gov/legislation/66555
HB 1099,"Crimes and offenses; knowing entry upon land or premises of another that has been marked with purple paint; provide for the crime of criminal trespass
Status: 03/04/2024 - Senate Read and Referred",House Committee:Judiciary Non-CivilSenate Committee:Judiciary,"Huddleston, David , 72ndBurchett, James , 176thCannon, Chas , 172ndCamp, Beth , 135thRhodes, Trey , 124th",https://www.legis.ga.gov/legislation/66556
HB 1100,"Revenue, Department of; authorize use of electronic notifications and communications to motor vehicle owners; provisions
Status: 04/22/2024 - House Date Signed by Governor",House Committee:Motor VehiclesSenate Committee:Public Safety,"New, Kimberly , 64thCorbett, John , 174thPrince, Brian , 132ndSmith, Vance , 138thMcClain, Dewey , 109thBarton, Matt , 5th",https://www.legis.ga.gov/legislation/66557
HB 1101,"Fair Business Practices Act of 1975; require cash overpayments to be remitted by merchants in the form of store credit under certain circumstances
Status: 02/06/2024 - House Second Readers",House Committee:Agriculture & Consumer Affairs,"Mainor, Mesha , 56thCamp, Beth , 135thHagan, Leesa , 156thCox, Brent , 28thScoggins, Mitchell , 14thCameron, Mike , 1st",https://www.legis.ga.gov/legislation/66558
HB 1102,"Sanctuary State Deportation Act; enact
Status: 02/06/2024 - House Second Readers",House Committee:Public Safety and Homeland Security,"Momtahan, Martin , 17thSmith, Tyler Paul , 18thLeverett, Rob , 123rdDaniel, Lauren , 117thJasperse, Rick , 11thSainz, Steven , 180th",https://www.legis.ga.gov/legislation/66561
HB 1103,"Income tax; exempt all retirement income received as retirement benefits in the armed forces of the United States or the reserve components
Status: 02/06/2024 - House Second Readers",House Committee:Ways & Means,"Gilliard, Carl , 162ndWilliams, Al , 168thReese, Tremaine Teddy , 140thGladney, Lynn , 130th",https://www.legis.ga.gov/legislation/66566
HB 1104,"Quality Basic Education Act; address mental health risks for student athletes
Status: 03/26/2024 - Senate Passed/Adopted By Substitute",House Committee:EducationSenate Committee:Education and Youth,"Cox, Brent , 28th",https://www.legis.ga.gov/legislation/66567
HB 1105,"Georgia Criminal Alien Track and Report Act of 2024; enact
Status: 05/01/2024 - House Date Signed by Governor",House Committee:Public Safety and Homeland SecuritySenate Committee:Public Safety,"Petrea, Jesse , 166thCollins, J , 71stBonner, Josh , 73rdDunahoo, Emory , 31stBarton, Matt , 5thJasperse, Rick , 11th",https://www.legis.ga.gov/legislation/66568
HB 1106,"Tybee Island, City of; Municipal Court; charge technology fee
Status: 04/22/2024 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Petrea, Jesse , 166thStephens, Ron , 164thJackson, Edna , 165thGilliard, Carl , 162ndHitchens, Bill , 161st",https://www.legis.ga.gov/legislation/66569
HB 1107,"Mental health; provide notice of admission and daily updates from a facility to the parent or legal guardian of an involuntary minor patient under 12 years of age
Status: 02/06/2024 - House Second Readers",House Committee:Public Health,"Mainor, Mesha , 56thJones, Todd , 25thMitchell, Billy , 88thSainz, Steven , 180thDaniel, Lauren , 117th",https://www.legis.ga.gov/legislation/66570
HB 1108,"Housing authorities; deemed to be political subdivisions of this state; provide
Status: 02/06/2024 - House Second Readers",House Committee:Judiciary,"Frye, Spencer , 122ndGaines, Houston , 120thReeves, Matt , 99thWashburn, Dale , 144thHolly, El-Mahdi , 116thBazemore, Debra , 69th",https://www.legis.ga.gov/legislation/66571
HB 1109,"Civil practice; provide for surviving relatives in wrongful death actions
Status: 02/06/2024 - House Second Readers",House Committee:Judiciary,"Crawford, Omari , 84thOliver, Mary Margaret , 82ndEvans, Stacey , 57thMiller, Tanya F. , 62ndWillis, Inga , 55thReese, Tremaine Teddy , 140th",https://www.legis.ga.gov/legislation/66573
HB 1110,"Crimes and offenses; dating violence protective orders; provide
Status: 02/29/2024 - House Committee Favorably Reported By Substitute",House Committee:Judiciary Non-Civil,"Crawford, Omari , 84thOliver, Mary Margaret , 82ndKendrick, Dar'shun , 95thMiller, Tanya F. , 62ndWillis, Inga , 55thGladney, Lynn , 130th",https://www.legis.ga.gov/legislation/66574
HB 1111,"Crimes and offenses; storage of a firearm within motor vehicle or vessel; provisions
Status: 02/06/2024 - House Second Readers",House Committee:Public Safety and Homeland Security,"Crawford, Omari , 84thAu, Michelle , 50thMiller, Tanya F. , 62ndOliver, Mary Margaret , 82ndWillis, Inga , 55thDraper, Saira , 90th",https://www.legis.ga.gov/legislation/66575
HB 1112,"Elections; remove Secretary of State from State Election Board; attach to State Accounting Office
Status: 02/16/2024 - House Committee Favorably Reported",House Committee:Governmental Affairs,"Leverett, Rob , 123rdLaHood, John , 175thBarrett, Carter , 24thAnderson, Victor , 10thHorner, Mitchell , 3rdRidley, Jordan , 22nd",https://www.legis.ga.gov/legislation/66576
HB 1113,"Personal Privacy Protection Act; enact
Status: 02/22/2024 - House Committee Favorably Reported By Substitute",House Committee:Governmental Affairs,"Reeves, Matt , 99thGunter, Stan , 8thSmith, Tyler Paul , 18thLeverett, Rob , 123rdSilcox, Deborah , 53rdEvans, Stacey , 57th",https://www.legis.ga.gov/legislation/66621
HB 1114,"Data Analysis for Tort Reform Act; enact
Status: 04/22/2024 - House Date Signed by Governor",House Committee:InsuranceSenate Committee:Insurance and Labor,"Wade, Will , 9thGambill, Matthew , 15thHong, Soo , 103rdMcDonald, Lauren , 26thJones, Todd , 25thHilton, Scott , 48th",https://www.legis.ga.gov/legislation/66622
HB 1115,"Sales and use tax; revise provisions for maximum allowable tax rate; remove prohibition of simultaneously levying a LOST and a HOST
Status: 02/29/2024 - Senate Read and Referred",House Committee:Ways & MeansSenate Committee:Finance,"Williams, Jr., Noel , 148thKelley, Trey , 16thCrowe, Clint , 118thBlackmon, Shaw , 146thHorner, Mitchell , 3rdSainz, Steven , 180th",https://www.legis.ga.gov/legislation/66623
HB 1116,"Income tax credit; rehabilitation of historic structures; home portion; extend sunset date 
Status: 03/21/2024 - Senate Read Second Time",House Committee:Ways & MeansSenate Committee:Finance,"Buckner, Debbie , 137thStephens, Ron , 164thHouston, Penny , 170thBlackmon, Shaw , 146thHolcomb, Scott , 81st",https://www.legis.ga.gov/legislation/66624
HB 1117,"Law enforcement officers; expand eligibility to serve as a peace officer to United States nationals
Status: 02/16/2024 - House Withdrawn, Recommitted",House Committee:Public Safety and Homeland Security,"Hitchens, Bill , 161stLumsden, Eddie , 12thCollins, J , 71stVance, Ken , 133rdNeal, Yasmin , 79th",https://www.legis.ga.gov/legislation/66625
HB 1118,"Elections; increase penalty for use of violence to interfere with duties of poll or election workers or prevent electors from voting
Status: 02/29/2024 - House Committee Favorably Reported By Substitute",House Committee:Judiciary Non-Civil,"Draper, Saira , 90thGilliard, Carl , 162ndBeverly, James , 143rdMiller, Tanya F. , 62ndPowell, Alan , 33rd",https://www.legis.ga.gov/legislation/66626
HB 1119,"Motor vehicles; standards for alteration and operation with modified suspension systems; provide
Status: 02/07/2024 - House Second Readers",House Committee:Motor Vehicles,"Carson, John , 46thHilton, Scott , 48th",https://www.legis.ga.gov/legislation/66630
HB 1120,"Ad valorem tax; post-appeal valuation freeze; exclude certain residential properties 
Status: 02/07/2024 - House Second Readers",House Committee:Ways & Means,"Taylor, Darlene , 173rdEhrhart, Ginny , 36thMathiak, Karen , 74thSmith, Lynn , 70thThomas, Brad , 21stCamp, Beth , 135th",https://www.legis.ga.gov/legislation/66632
HB 1121,"Local government; suspending or prohibiting the continued use of property as a short-term rental unit by a property owner under certain circumstances; prohibit 
Status: 02/07/2024 - House Second Readers",House Committee:Governmental Affairs,"Ballard, Bethany , 147thWashburn, Dale , 144thPowell, Alan , 33rdNew, Kimberly , 64thSainz, Steven , 180th",https://www.legis.ga.gov/legislation/66650
HB 1122,"Education; provide for funding requirements to apply to local agencies; charter schools; provisions
Status: 04/23/2024 - House Date Signed by Governor",House Committee:EducationSenate Committee:Education and Youth,"Hilton, Scott , 48thJones, Jan , 47thDubnik, Matt , 29thBallard, Bethany , 147thAdeyina, Segun , 110thJones, Todd , 25th",https://www.legis.ga.gov/legislation/66651
HB 1123,"Handicapped persons; require establishment of an Adult Abuse, Neglect, and Exploitation Multidisciplinary Team in each judicial circuit
Status: 05/07/2024 - House Date Vetoed by Governor",House Committee:Judiciary Non-CivilSenate Committee:Judiciary,"Barrett, Carter , 24thCooper, Sharon , 45thSilcox, Deborah , 53rdOliver, Mary Margaret , 82nd",https://www.legis.ga.gov/legislation/66652
HB 1124,"Education; needs based financial aid program; provide for a definition
Status: 03/08/2024 - Senate Read Second Time",House Committee:Higher EducationSenate Committee:Higher Education,"Martin, Chuck , 49thHilton, Scott , 48thJones, Jan , 47thSilcox, Deborah , 53rdGaines, Houston , 120th",https://www.legis.ga.gov/legislation/66653
HB 1125,"Labor and industrial relations; phase out payment of subminimum wage to persons with disabilities
Status: 03/18/2024 - Senate Read Second Time",House Committee:Industry and LaborSenate Committee:Insurance and Labor,"Cooper, Sharon , 45thCarpenter, Kasey , 4thDaniel, Lauren , 117thHilton, Scott , 48thSmith, Tyler Paul , 18thHolly, El-Mahdi , 116th",https://www.legis.ga.gov/legislation/66654
HB 1126,"Motor vehicles; enforcement of speeding in school zones through automated traffic enforcement safety devices; repeal all law 
Status: 02/20/2024 - House Committee Favorably Reported",House Committee:Motor Vehicles,"Pirkle, Clay , 169thJasperse, Rick , 11thGullett, Joseph , 19thDickey, Robert , 145thCollins, J , 71stDaniel, Lauren , 117th",https://www.legis.ga.gov/legislation/66655
HB 1127,"Agriculture, Department of; enforce certain criminal laws; authorize
Status: 02/29/2024 - Senate Read and Referred",House Committee:Agriculture & Consumer AffairsSenate Committee:Regulated Industries and Utilities,"Pirkle, Clay , 169thCorbett, John , 174thRhodes, Trey , 124thLott, Jodi , 131stWiedower, Marcus , 121stThomas, Mandisha A. , 65th",https://www.legis.ga.gov/legislation/66656
HB 1128,"Georgia Women's Bill of Rights; enact
Status: 02/07/2024 - House Second Readers",House Committee:Judiciary,"Lott, Jodi , 131stHagan, Leesa , 156thNew, Kimberly , 64thHouston, Penny , 170thBallard, Bethany , 147thPowell, Alan , 33rd",https://www.legis.ga.gov/legislation/66657
HB 1129,"Crimes and offenses; criminal prosecution for offenses committed as a victim of human trafficking; provide for defense 
Status: 02/07/2024 - House Second Readers",House Committee:Judiciary Non-Civil,"Holcomb, Scott , 81stWerkheiser, Bill , 157th",https://www.legis.ga.gov/legislation/66658
HB 1130,"Crimes and offenses; criminal prosecution for offenses committed as a victim of human trafficking; provide for immunity
Status: 02/29/2024 - House Committee Favorably Reported",House Committee:Judiciary Non-Civil,"Holcomb, Scott , 81stWerkheiser, Bill , 157th",https://www.legis.ga.gov/legislation/66659
HB 1131,"Education; evidence based suicide awareness and training programs; provide
Status: 02/26/2024 - House Committee Favorably Reported By Substitute",House Committee:Education,"Townsend, Rick , 179thBallard, Bethany , 147thSainz, Steven , 180thGlaize, Lydia , 67thVance, Ken , 133rdMartinez, Reynaldo ""Rey"" , 111th",https://www.legis.ga.gov/legislation/66660
HB 1132,"Housing, employment, and insurance; prohibit misuse of consumer reports; provisions
Status: 02/07/2024 - House Second Readers",House Committee:Judiciary,"Mainor, Mesha , 56thJackson, Mack , 128thLim, Marvin , 98th",https://www.legis.ga.gov/legislation/66661
HB 1133,"Quality Basic Education Act; staff development; require training programs for local boards of education to include certain provisions
Status: 02/07/2024 - House Second Readers",House Committee:Education,"Mainor, Mesha , 56thLim, Marvin , 98th",https://www.legis.ga.gov/legislation/66662
HB 1134,"Income tax credit; rehabilitation of historic structures; extend sunset date
Status: 02/07/2024 - House Second Readers",House Committee:Ways & Means,"Stephens, Ron , 164thSainz, Steven , 180thBuckner, Debbie , 137th",https://www.legis.ga.gov/legislation/66663
HB 1135,"Dexter, Town of; provide new charter
Status: 05/01/2024 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Hatchett, Matt , 155th",https://www.legis.ga.gov/legislation/66691
HB 1136,"Crimes and offenses; stalking and aggravated stalking can be committed both directly and indirectly; clarify
Status: 02/29/2024 - House Committee Favorably Reported By Substitute",House Committee:Judiciary Non-Civil,"Mainor, Mesha , 56thGullett, Joseph , 19thLeverett, Rob , 123rdPersinger, Holt , 119thCameron, Mike , 1stNew, Kimberly , 64th",https://www.legis.ga.gov/legislation/66692
HB 1137,"Criminal procedure; pretrial proceedings; prohibit disclosure of grand juror names
Status: 02/08/2024 - House Second Readers",House Committee:Judiciary Non-Civil,"Kendrick, Dar'shun , 95th",https://www.legis.ga.gov/legislation/66693
HB 1138,"Invest Georgia Fund; provide additional factor that the fund administrator shall consider in the selection of venture capital funds
Status: 03/18/2024 - Senate Read Second Time",House Committee:Economic Development & TourismSenate Committee:Economic Development and Tourism,"Kendrick, Dar'shun , 95th",https://www.legis.ga.gov/legislation/66694
HB 1139,"Leave No Child Hungry Act; enact
Status: 02/08/2024 - House Second Readers",House Committee:Education,"Gilliard, Carl , 162ndOliver, Mary Margaret , 82ndMiller, Tanya F. , 62ndBell, Eric , 75th",https://www.legis.ga.gov/legislation/66695
HB 1140,"Haralson County; ad valorem tax; educational purposes; homestead exemption; increase amount
Status: 03/26/2024 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Smith, Tyler Paul , 18th",https://www.legis.ga.gov/legislation/66696
HB 1141,"Telfair County; ad valorem tax; educational purposes; provide homestead exemption
Status: 05/01/2024 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Hagan, Leesa , 156thMathis, Danny , 149th",https://www.legis.ga.gov/legislation/66697
HB 1142,"Professions and businesses; remove residency requirement for issuance of licenses by endorsement for certain professions
Status: 02/08/2024 - House Second Readers",House Committee:Regulated Industries,"Martin, Chuck , 49thGullett, Joseph , 19thJones, Todd , 25thHilton, Scott , 48thMomtahan, Martin , 17thJones, Jan , 47th",https://www.legis.ga.gov/legislation/66698
HB 1143,"Telfair County; ad valorem tax; county purposes; provide homestead exemption
Status: 05/01/2024 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Hagan, Leesa , 156thMathis, Danny , 149th",https://www.legis.ga.gov/legislation/66699
HB 1144,"Professions and businesses; change certain requirements for issuance of licenses by endorsement for spouses of active or transitioning members of armed forces to conform to federal law
Status: 02/08/2024 - House Second Readers",House Committee:Regulated Industries,"Martin, Chuck , 49thGullett, Joseph , 19thJones, Todd , 25thHilton, Scott , 48thMomtahan, Martin , 17thJones, Jan , 47th",https://www.legis.ga.gov/legislation/66700
HB 1145,"Bartow County; ad valorem tax; homestead exemption for education purposes; increase income cap
Status: 05/01/2024 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Scoggins, Mitchell , 14thGambill, Matthew , 15th",https://www.legis.ga.gov/legislation/66703
HB 1146,"Natural Resources, Department of; EPD to issue water permits to private companies in areas where no public service can be provided within a period of 12 months; require
Status: 05/06/2024 - House Date Signed by Governor",House Committee:Natural Resources & EnvironmentSenate Committee:Natural Resources and the Environment,"Stephens, Ron , 164thHitchens, Bill , 161stPetrea, Jesse , 166th",https://www.legis.ga.gov/legislation/66705
HB 1147,"Paulding County; ad valorem tax; county purposes; provide new homestead exemption
Status: 02/08/2024 - House Second Readers",House Committee:Intragovernmental Coordination,"Momtahan, Martin , 17thKelley, Trey , 16thSmith, Tyler Paul , 18thNew, Kimberly , 64thGullett, Joseph , 19th",https://www.legis.ga.gov/legislation/66706
HB 1148,"Paulding County; ad valorem tax; educational purposes; provide new homestead exemption
Status: 02/08/2024 - House Second Readers",House Committee:Intragovernmental Coordination,"Momtahan, Martin , 17thKelley, Trey , 16thSmith, Tyler Paul , 18thNew, Kimberly , 64thGullett, Joseph , 19th",https://www.legis.ga.gov/legislation/66707
HB 1149,"Local government; require local constitutional officers to annually report audits of discretionary funds to the General Assembly
Status: 05/06/2024 - House Date Signed by Governor",House Committee:Governmental AffairsSenate Committee:State and Local Governmental Operations,"Mainor, Mesha , 56thSainz, Steven , 180thThomas, Brad , 21st",https://www.legis.ga.gov/legislation/66708
HB 1150,"Motor vehicles; fingerprints shall not be obtained for offenses relating to window tinting; provide
Status: 03/11/2024 - Senate Read Second Time",House Committee:Motor VehiclesSenate Committee:Judiciary,"Collins, J , 71stCorbett, John , 174thSainz, Steven , 180thPirkle, Clay , 169thCrowe, Clint , 118th",https://www.legis.ga.gov/legislation/66709
HB 1151,"Special license plates; Southern University Alumni; establish
Status: 02/20/2024 - House Committee Favorably Reported By Substitute",House Committee:Motor Vehicles,"McClain, Dewey , 109thPrince, Brian , 132ndAlexander, Kimberly , 66thGladney, Lynn , 130thBarton, Matt , 5thKennard, Gregg , 101st",https://www.legis.ga.gov/legislation/66710
HB 1152,"The Georgia Homegrown Solar Act of 2024; enact
Status: 02/08/2024 - House Second Readers","House Committee:Energy, Utilities & Telecommunications","Camp, Beth , 135thCarson, John , 46thPowell, Alan , 33rdPersinger, Holt , 119thGullett, Joseph , 19thMathiak, Karen , 74th",https://www.legis.ga.gov/legislation/66711
HB 1153,"Homeowners Protection Act; enact
Status: 02/26/2024 - House Committee Favorably Reported",House Committee:Judiciary,"Jones, Todd , 25thMartin, Chuck , 49thSeabaugh, Devan , 34thAnderson, Victor , 10thHuddleston, David , 72nd",https://www.legis.ga.gov/legislation/66714
HB 1154,"Medical assistance; maternal screening for perinatal mood and anxiety disorders; mandate Medicaid coverage
Status: 02/08/2024 - House Second Readers",House Committee:Public Health,"Cannon, Park , 58thOliver, Mary Margaret , 82ndBeverly, James , 143rdWilliams, Mary Frances , 37thGlaize, Lydia , 67th",https://www.legis.ga.gov/legislation/66715
HB 1155,"Newborn Baby and Mother Protection Act; maternal screening for perinatal mood and anxiety disorders; mandate coverage
Status: 02/08/2024 - House Second Readers",House Committee:Public Health,"Cannon, Park , 58thOliver, Mary Margaret , 82ndBeverly, James , 143rdWilliams, Mary Frances , 37thGlaize, Lydia , 67th",https://www.legis.ga.gov/legislation/66716
HB 1156,"Landlord and tenant; restrictions on rent regulation by local governments; repeal Code Section 44-7-19
Status: 02/08/2024 - House Second Readers",House Committee:Governmental Affairs,"Jackson, Derrick , 68thHolly, El-Mahdi , 116thBazemore, Debra , 69thGlaize, Lydia , 67th",https://www.legis.ga.gov/legislation/66739
HB 1157,"Fair Business Practices Act of 1975; violation of statute limiting certain rent increases is an unlawful business practice; provide
Status: 02/08/2024 - House Second Readers",House Committee:Judiciary,"Jackson, Derrick , 68thHolly, El-Mahdi , 116thBazemore, Debra , 69thGlaize, Lydia , 67th",https://www.legis.ga.gov/legislation/66740
HB 1158,"Domestic relations; postmajority child support when child is enrolled in and attending an institution of postsecondary education; authorize
Status: 02/08/2024 - House Second Readers",House Committee:Judiciary,"Jackson, Derrick , 68thDrenner, Karla , 85thBarnes, Imani , 86thTaylor, Rhonda , 92ndBazemore, Debra , 69th",https://www.legis.ga.gov/legislation/66741
HB 1159,"Elections; certain persons disqualified from holding office pursuant to operation of the United States Constitution shall not be nominated or elected to office; provide
Status: 02/08/2024 - House Second Readers",House Committee:Governmental Affairs,"Jackson, Derrick , 68thBruce, Roger , 61stHolly, El-Mahdi , 116thClark, Jasmine , 108thReese, Tremaine Teddy , 140th",https://www.legis.ga.gov/legislation/66742
HB 1160,"Crimes and offenses; prohibit sale, transfer, use, possession, importation, or manufacture of certain firearms and magazines
Status: 02/08/2024 - House Second Readers",House Committee:Public Safety and Homeland Security,"Jackson, Derrick , 68thHolly, El-Mahdi , 116thEvans, Becky , 89thMoore, Angela , 91stDraper, Saira , 90th",https://www.legis.ga.gov/legislation/66743
HB 1161,"Income tax; exempt all retirement income received as retirement benefits in the armed forces of the United States or the reserve components
Status: 02/08/2024 - House Second Readers",House Committee:Ways & Means,"Ballard, Bethany , 147thSainz, Steven , 180thPetrea, Jesse , 166thReese, Tremaine Teddy , 140thBonner, Josh , 73rdCannon, Chas , 172nd",https://www.legis.ga.gov/legislation/66744
HB 1162,"Internal Revenue Code and Internal Revenue Code of 1986; revise terms and incorporate certain provisions of federal law into Georgia law
Status: 04/22/2024 - House Date Signed by Governor",House Committee:Ways & MeansSenate Committee:Finance,"Knight, David , 134thWilliamson, Bruce , 112thBlackmon, Shaw , 146thCarson, John , 46thMartin, Chuck , 49th",https://www.legis.ga.gov/legislation/66745
HB 1163,"Internal Revenue Code and Internal Revenue Code of 1986; revise terms and incorporate certain provisions of federal law into Georgia law
Status: 02/08/2024 - House Second Readers",House Committee:Ways & Means,"Knight, David , 134thWilliamson, Bruce , 112thBlackmon, Shaw , 146thCarson, John , 46thMartin, Chuck , 49th",https://www.legis.ga.gov/legislation/66746
HB 1164,"Crimes and offenses; offense of criminal trespass involving a wild animal; provide
Status: 02/08/2024 - House Second Readers",House Committee:Judiciary Non-Civil,"Miller, Tanya F. , 62ndSmith, Tyler Paul , 18thLaHood, John , 175thBuckner, Debbie , 137thFleming, Tim , 114thSmith, Vance , 138th",https://www.legis.ga.gov/legislation/66747
HB 1165,"Criminal Justice Coordinating Council; replace chairperson of the Governor's Office of Children and Families with the commissioner of the Georgia Department of Behavioral Health and Developmental Disabilities
Status: 04/22/2024 - House Date Signed by Governor",House Committee:Public Safety and Homeland SecuritySenate Committee:Judiciary,"Mainor, Mesha , 56thReeves, Matt , 99thDempsey, Katie , 13thParrish, Butch , 158thHilton, Scott , 48th",https://www.legis.ga.gov/legislation/66748
HB 1166,"Atlanta, City of; ad valorem tax; municipal purposes; provide homestead exemption
Status: 02/08/2024 - House Second Readers",House Committee:Intragovernmental Coordination,"Jones, Sheila , 60thMainor, Mesha , 56th",https://www.legis.ga.gov/legislation/66749
HB 1167,"Georgia Foundation for Public Education; prioritizing low-performing schools applicable to the award of grants to public schools by a nonprofit corporation; remove a provision
Status: 02/20/2024 - House Committee Favorably Reported By Substitute",House Committee:Ways & Means,"Townsend, Rick , 179thErwin, Chris , 32ndLumsden, Eddie , 12thYearta, Bill , 152ndCheokas, Mike , 151stGreene, Gerald , 154th",https://www.legis.ga.gov/legislation/66750
HB 1168,"Motor vehicles; notation of certain medical conditions and disabilities on driver's licenses; provide
Status: 02/08/2024 - House Second Readers",House Committee:Public Safety and Homeland Security,"Townsend, Rick , 179thDeLoach, Buddy , 167thSainz, Steven , 180thVance, Ken , 133rdReeves, Matt , 99thCannon, Chas , 172nd",https://www.legis.ga.gov/legislation/66751
HB 1169,"Environmental Protection Division; investigate and consider out-of-state regulatory history when processing applications for certain permits; authorize
Status: 02/08/2024 - House Second Readers",House Committee:Natural Resources & Environment,"Townsend, Rick , 179thSmith, Vance , 138thDeLoach, Buddy , 167thVance, Ken , 133rdReeves, Matt , 99thClark, David , 100th",https://www.legis.ga.gov/legislation/66752
HB 1170,"Public Health, Department of; require certain state government buildings, courthouses, and university buildings maintain and make accessible opioid antagonists
Status: 03/28/2024 - Senate Passed/Adopted By Substitute",House Committee:Public HealthSenate Committee:Health and Human Services,"Hawkins, Lee , 27thMathiak, Karen , 74thGaines, Houston , 120thGambill, Matthew , 15th",https://www.legis.ga.gov/legislation/66760
HB 1171,"Sales and use tax; clothing and school related supplies during the last two weeks of July each year; exempt
Status: 02/09/2024 - House Second Readers",House Committee:Ways & Means,"Burchett, James , 176thCorbett, John , 174thTarvin, Steve , 2ndErwin, Chris , 32ndBallard, Bethany , 147th",https://www.legis.ga.gov/legislation/66761
